"sequenceNumber","resultNumber","yourId","fullAddress","intersectionName","score","matchPrecision","precisionPoints","faults","siteName","unitDesignator","unitNumber","unitNumberSuffix","civicNumber","civicNumberSuffix","streetName","streetType","isStreetTypePrefix","streetDirection","isStreetDirectionPrefix","streetQualifier","localityName","localityType","electoralArea","provinceCode","location","locationPositionalAccuracy","locationDescriptor","siteID","blockID","intersectionID","fullSiteDescriptor","accessNotes","siteStatus","siteRetireDate","changeDate","isOfficial","degree","executionTime","sid"
77,1,,"1417 Cranbrook St N, Cranbrook, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"1417",,"Cranbrook","St","false","N","false",,"Cranbrook","City",,"BC","SRID=3005;POINT(1739701 554702)","high","parcelPoint","e9324e8d-0098-42e7-bb43-edd50a37c618",2634214,,,"""","active","9999-12-31","2025-02-07","true",,0.076,4436563
78,1,,"142 Tranquille Rd, Kamloops, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"142",,"Tranquille","Rd","false",,"false",,"Kamloops","City",,"BC","SRID=3005;POINT(1398348 645882)","high","parcelPoint","88126dac-7b07-47fc-8c4e-c15d0e40a532",211784,,,"""","active","9999-12-31","2025-02-07","true",,0.093,3448905
79,1,,"108 Sorley Rd, Meadow Lake, BC",,75,"CIVIC_NUMBER",100,"[INITIAL_GARBAGE.notAllowed:3, LOCALITY.missing:10, STREET_NAME.spelledWrong:2, STREET_TYPE.notMatched:3, STREET_TYPE.notPrefix:0, PROVINCE.missing:1, FAULTS.tooMany:6, MAX_RESULTS.too_low_to_include_all_best_matches:0]",,,,,"108",,"Sorley","Rd","false",,"false",,"Meadow Lake","Unknown","TNRD Electoral Area E (Bonaparte Plateau)","BC","SRID=3005;POINT(1305329 705949)","high","parcelPoint","26713f16-0be5-43ee-9f21-1a1c4db575b9",375039,,,"""","active","9999-12-31","2025-02-07","true",,2.69,3076766
80,1,,"144 George St, Prince George, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"144",,"George","St","false",,"false",,"Prince George","City",,"BC","SRID=3005;POINT(1213454 995297)","high","parcelPoint","12aa6257-8c51-40a3-839c-298986d43ec4",223256,,,"""","active","9999-12-31","2025-02-07","true",,0.118,3324361
81,1,,"1443 W 8th Ave, Vancouver, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"1443",,"8th","Ave","false","W","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1208518 476261)","high","parcelPoint","060f239a-9b07-4a89-884b-784afcd05d22",106282,,,"""","active","9999-12-31","2025-02-07","true",,2.107,3116188
82,1,,"1443 W 8th Ave, Vancouver, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"1443",,"8th","Ave","false","W","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1208518 476261)","high","parcelPoint","060f239a-9b07-4a89-884b-784afcd05d22",106282,,,"""","active","9999-12-31","2025-02-07","true",,2.037,3116188
83,1,,"1450 Elford St, Victoria, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"1450",,"Elford","St","false",,"false",,"Victoria","City",,"BC","SRID=3005;POINT(1197113 382646)","high","parcelPoint","9ce884ca-693a-4960-b91b-56a3ccdc02f0",304541,,,"""","active","9999-12-31","2025-02-07","true",,0.076,3713417
84,1,,"1450 Elford St, Victoria, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"1450",,"Elford","St","false",,"false",,"Victoria","City",,"BC","SRID=3005;POINT(1197113 382646)","high","parcelPoint","9ce884ca-693a-4960-b91b-56a3ccdc02f0",304541,,,"""","active","9999-12-31","2025-02-07","true",,0.056,3713417
85,1,,"146 Carson Ave, Quesnel, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"146",,"Carson","Ave","false",,"false",,"Quesnel","City",,"BC","SRID=3005;POINT(1234650 891104)","high","parcelPoint","058a58f8-4d7f-461e-9343-42bb0ef6ca6f",227925,,,"""","active","9999-12-31","2025-02-07","true",,0.074,2883681
86,1,,"14600 North Bluff Rd, White Rock, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"14600",,"North Bluff","Rd","false",,"false",,"White Rock","City",,"BC","SRID=3005;POINT(1232972 451079)","high","parcelPoint","c5de8084-d62c-4582-9317-77edcd3532c2",143687,,,"""","active","9999-12-31","2025-02-07","true",,4.689,4467889
87,1,,"14601 20 Ave, Surrey, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"14601",,"20","Ave","false",,"false",,"Surrey","City",,"BC","SRID=3005;POINT(1232809 452288)","high","parcelPoint","34689074-856c-44ec-812d-3e057bcef6ff",400575,,,"""","active","9999-12-31","2025-02-07","true",,0.189,2956546
88,1,,"14601 20 Ave, Surrey, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"14601",,"20","Ave","false",,"false",,"Surrey","City",,"BC","SRID=3005;POINT(1232809 452288)","high","parcelPoint","34689074-856c-44ec-812d-3e057bcef6ff",400575,,,"""","active","9999-12-31","2025-02-07","true",,0.138,2956546
89,1,,"14716 104 Ave, Surrey, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"14716",,"104","Ave","false",,"false",,"Surrey","City",,"BC","SRID=3005;POINT(1232376 469111)","high","parcelPoint","687a931f-3cff-4096-bf74-4fc7fb2a0e2b",401836,,,"""","active","9999-12-31","2025-02-07","true",,0.134,2997570
90,1,,"14716 104 Ave, Surrey, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"14716",,"104","Ave","false",,"false",,"Surrey","City",,"BC","SRID=3005;POINT(1232376 469111)","high","parcelPoint","687a931f-3cff-4096-bf74-4fc7fb2a0e2b",401836,,,"""","active","9999-12-31","2025-02-07","true",,0.128,2997570
91,1,,"15 W Hastings St, Vancouver, BC",,99,"CIVIC_NUMBER",100,"[STREET_DIRECTION.notSuffix:0, PROVINCE.missing:1]",,,,,"15",,"Hastings","St","false","W","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1210749 478262)","high","parcelPoint","3b15a238-a76d-4a5b-af3f-8b8c1cbabe87",471933,,,"""","active","9999-12-31","2025-02-07","true",,1.782,4464738
92,1,,"1611 Quadra St, Victoria, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"1611",,"Quadra","St","false",,"false",,"Victoria","City",,"BC","SRID=3005;POINT(1195842 382821)","high","parcelPoint","fdf7e152-d463-4266-9ae4-08fb430e15ef",296665,,,"""","active","9999-12-31","2025-02-07","true",,0.106,4202684
93,1,,"1611 Quadra St, Victoria, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"1611",,"Quadra","St","false",,"false",,"Victoria","City",,"BC","SRID=3005;POINT(1195842 382821)","high","parcelPoint","fdf7e152-d463-4266-9ae4-08fb430e15ef",296665,,,"""","active","9999-12-31","2025-02-07","true",,0.066,4202684
94,1,,"1660 Columbia Ave, Castlegar, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"1660",,"Columbia","Ave","false",,"false",,"Castlegar","City",,"BC","SRID=3005;POINT(1605756 512064)","high","parcelPoint","c576f9b3-f020-4be0-9aa3-b0013dbe3691",2412368,,,"""","active","9999-12-31","2025-02-07","true",,0.097,2348580
95,1,,"1660 Columbia Ave, Castlegar, BC",,98,"CIVIC_NUMBER",100,"[POSTAL_ADDRESS_ELEMENT.notAllowed:1, PROVINCE.missing:1]",,,,,"1660",,"Columbia","Ave","false",,"false",,"Castlegar","City",,"BC","SRID=3005;POINT(1605756 512064)","high","parcelPoint","c576f9b3-f020-4be0-9aa3-b0013dbe3691",2412368,,,"""","active","9999-12-31","2025-02-07","true",,0.8,2348580
96,1,,"1660 E Hastings St, Vancouver, BC",,98,"BLOCK",99,"[PROVINCE.missing:1]",,,,,"1660",,"Hastings","St","false","E","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1213199.255 478284.541)","low","accessPoint",,100856,,,,"active",,,"true",,1.392,
97,1,,"1660 E Hastings St, Vancouver, BC",,98,"BLOCK",99,"[PROVINCE.missing:1]",,,,,"1660",,"Hastings","St","false","E","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1213199.255 478284.541)","low","accessPoint",,100856,,,,"active",,,"true",,1.372,
98,1,,"1661 McCallum Rd, Abbotsford, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"1661",,"McCallum","Rd","false",,"false",,"Abbotsford","City",,"BC","SRID=3005;POINT(1271171 453346)","high","parcelPoint","ac9c12b0-d112-4416-a389-46590fed1691",2629555,,,"""","active","9999-12-31","2025-02-07","true",,0.074,3966147
99,1,,"167 Douglas Ave, Fort St. James, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"167",,"Douglas","Ave","false",,"false",,"Fort St. James","District Municipality",,"BC","SRID=3005;POINT(1113113 1050131)","high","parcelPoint","89cd9079-08c9-4aca-b35b-74d286a5a644",241830,,,"""","active","9999-12-31","2025-02-07","true",,0.098,4376775
100,1,,"1706 Main St, Penticton, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"1706",,"Main","St","false",,"false",,"Penticton","City",,"BC","SRID=3005;POINT(1464590 517001)","high","parcelPoint","f31e7eaf-412d-4d0b-bdfb-fe4e3d92a31e",50581,,,"""","active","9999-12-31","2025-02-07","true",,0.116,3310498
101,1,,"1726 E Hastings St, Vancouver, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"1726",,"Hastings","St","false","E","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1213331 478258)","high","parcelPoint","dc97b0f8-211f-43bb-8adf-9e3c59da59be",101559,,,"""","active","9999-12-31","2025-02-07","true",,1.095,3584238
102,1,,"1726 E Hastings St, Vancouver, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"1726",,"Hastings","St","false","E","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1213331 478258)","high","parcelPoint","dc97b0f8-211f-43bb-8adf-9e3c59da59be",101559,,,"""","active","9999-12-31","2025-02-07","true",,1.219,3584238
103,1,,"1726 E Hastings St, Vancouver, BC",,93,"CIVIC_NUMBER",100,"[STREET_TYPE.missing:6, PROVINCE.missing:1]",,,,,"1726",,"Hastings","St","false","E","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1213331 478258)","high","parcelPoint","dc97b0f8-211f-43bb-8adf-9e3c59da59be",101559,,,"""","active","9999-12-31","2025-02-07","true",,3.97,3584238
104,1,,"1738 E Hastings St, Vancouver, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"1738",,"Hastings","St","false","E","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1213358 478259)","high","parcelPoint","f080dd73-e3a3-4c98-8c2a-1ebdc6357876",101559,,,"""","active","9999-12-31","2025-02-07","true",,1.23,3735650
105,1,,"1738 E Hastings St, Vancouver, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"1738",,"Hastings","St","false","E","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1213358 478259)","high","parcelPoint","f080dd73-e3a3-4c98-8c2a-1ebdc6357876",101559,,,"""","active","9999-12-31","2025-02-07","true",,1.232,3735650
106,1,,"1755 Coldwater Ave, Merritt, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"1755",,"Coldwater","Ave","false",,"false",,"Merritt","City",,"BC","SRID=3005;POINT(1371978 579744)","high","parcelPoint","70c8da90-dbf5-4692-96a6-c58dbaa2477e",194021,,,"""","active","9999-12-31","2025-02-07","true",,0.094,3413523
107,1,,"17752 Colebrook Rd, Surrey, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"17752",,"Colebrook","Rd","false",,"false",,"Surrey","City",,"BC","SRID=3005;POINT(1238952 459161)","high","parcelPoint","85fe0769-2490-4139-9f96-0de032d86be7",134963,,,"""","active","9999-12-31","2025-02-07","true",,0.078,3495375
108,1,,"17910 Colebrook Rd, Surrey, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"17910",,"Colebrook","Rd","false",,"false",,"Surrey","City",,"BC","SRID=3005;POINT(1239302 459087)","high","parcelPoint","5efe42d8-7013-4403-92e3-8eee8fc37f60",134963,,,"""","active","9999-12-31","2025-02-07","true",,0.052,3774224
109,1,,"181 Victoria St W, Kamloops, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"181",,"Victoria","St","false","W","false",,"Kamloops","City",,"BC","SRID=3005;POINT(1399088 645072)","high","parcelPoint","1c180256-f59a-4994-b77e-64819980ffcd",1958367,,,"""","active","9999-12-31","2025-02-07","true",,0.099,3261287
110,1,,"1821 Sumas Way, Abbotsford, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"1821",,"Sumas","Way","false",,"false",,"Abbotsford","City",,"BC","SRID=3005;POINT(1273071 453730)","high","parcelPoint","618a7708-b102-4297-be07-bb58051a818e",161732,,,"""","active","9999-12-31","2025-02-07","true",,0.059,3785990
111,1,,"1821 Sumas Way, Abbotsford, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"1821",,"Sumas","Way","false",,"false",,"Abbotsford","City",,"BC","SRID=3005;POINT(1273071 453730)","high","parcelPoint","618a7708-b102-4297-be07-bb58051a818e",161732,,,"""","active","9999-12-31","2025-02-07","true",,0.047,3785990
112,1,,"19 Nicol St, Nanaimo, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"19",,"Nicol","St","false",,"false",,"Nanaimo","City",,"BC","SRID=3005;POINT(1150822 462929)","high","parcelPoint","69155601-b168-4c62-b028-57a42b7e007d",2495512,,,"""","active","9999-12-31","2025-02-07","true",,0.066,3249034
113,1,,"1906 W 15th Ave, Vancouver, BC",,99,"CIVIC_NUMBER",100,"[STREET_DIRECTION.notSuffix:0, PROVINCE.missing:1]",,,,,"1906",,"15th","Ave","false","W","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1207700 475464)","high","parcelPoint","f5f7841a-059b-4672-be3e-f221af8e83d9",104809,,,"""","active","9999-12-31","2025-02-07","true",,7.306,3662117
114,1,,"201 Central St, Vancouver, BC",,98,"BLOCK",99,"[PROVINCE.missing:1]",,,,,"201",,"Central","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1211208.278 477111.416)","low","accessPoint",,105387,,,,"active",,,"true",,0.123,
115,1,,"201 Central St, Vancouver, BC",,98,"BLOCK",99,"[PROVINCE.missing:1]",,,,,"201",,"Central","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1211208.278 477111.416)","low","accessPoint",,105387,,,,"active",,,"true",,0.075,
116,1,,"2039 Riverside Ave, Trail, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"2039",,"Riverside","Ave","false",,"false",,"Trail","City",,"BC","SRID=3005;POINT(1605465 488497)","high","parcelPoint","77a4de44-0cd6-4d3a-9dad-33afa32e62f6",2557162,,,"""","active","9999-12-31","2025-02-07","true",,0.185,2923303
117,1,,"205 E Hastings St, Vancouver, BC",,92,"BLOCK",99,"[STREET_TYPE.missing:6, PROVINCE.missing:1]",,,,,"205",,"Hastings","St","false","E","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1211183.793 478222.209)","low","accessPoint",,106521,,,,"active",,,"true",,2.357,
118,1,,"2088 Yukon St, Vancouver, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"2088",,"Yukon","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1210297 476572)","high","parcelPoint","46b5d393-1e29-4c4d-9791-7033f6f0fd3a",473549,,,"""","active","9999-12-31","2025-02-07","true",,0.078,3447675
119,1,,"2088 Yukon St, Vancouver, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"2088",,"Yukon","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1210297 476572)","high","parcelPoint","46b5d393-1e29-4c4d-9791-7033f6f0fd3a",473549,,,"""","active","9999-12-31","2025-02-07","true",,0.058,3447675
120,1,,"2117 Vancouver St, Victoria, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"2117",,"Vancouver","St","false",,"false",,"Victoria","City",,"BC","SRID=3005;POINT(1196078 383303)","high","parcelPoint","65866ddd-6add-4c01-a1ec-ebbe89ddd34d",300665,,,"""","active","9999-12-31","2025-02-07","true",,0.076,4090202
121,1,,"22155 Lougheed Hwy, Maple Ridge, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"22155",,"Lougheed","Hwy","false",,"false",,"Maple Ridge","City",,"BC","SRID=3005;POINT(1247196 472712)","high","parcelPoint","277ef55a-7e0f-41fa-bd9e-2d5a935018f9",2522676,,,"""","active","9999-12-31","2025-02-07","true",,0.113,1774728
122,1,,"22155 Lougheed Hwy, Maple Ridge, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"22155",,"Lougheed","Hwy","false",,"false",,"Maple Ridge","City",,"BC","SRID=3005;POINT(1247196 472712)","high","parcelPoint","277ef55a-7e0f-41fa-bd9e-2d5a935018f9",2522676,,,"""","active","9999-12-31","2025-02-07","true",,0.094,1774728
123,1,,"22188 Lougheed Hwy, Maple Ridge, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"22188",,"Lougheed","Hwy","false",,"false",,"Maple Ridge","City",,"BC","SRID=3005;POINT(1247295 472618)","high","parcelPoint","26f3a6f5-1493-4a6e-893e-abe218faa05b",2522676,,,"""","active","9999-12-31","2025-02-07","true",,0.083,1410219
124,1,,"22188 Lougheed Hwy, Maple Ridge, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"22188",,"Lougheed","Hwy","false",,"false",,"Maple Ridge","City",,"BC","SRID=3005;POINT(1247295 472618)","high","parcelPoint","26f3a6f5-1493-4a6e-893e-abe218faa05b",2522676,,,"""","active","9999-12-31","2025-02-07","true",,0.067,1410219
125,1,,"2294 Douglas Rd, Burnaby, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"2294",,"Douglas","Rd","false",,"false",,"Burnaby","City",,"BC","SRID=3005;POINT(1219326 476591)","high","parcelPoint","df78265d-7256-4d66-9fce-c0d44bba621f",2523213,,,"""","active","9999-12-31","2025-02-07","true",,0.083,1463148
126,1,,"2294 Douglas Rd, Burnaby, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"2294",,"Douglas","Rd","false",,"false",,"Burnaby","City",,"BC","SRID=3005;POINT(1219326 476591)","high","parcelPoint","df78265d-7256-4d66-9fce-c0d44bba621f",2523213,,,"""","active","9999-12-31","2025-02-07","true",,0.07,1463148
127,1,,"2307 43 St, Vernon, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"2307",,"43","St","false",,"false",,"Vernon","City",,"BC","SRID=3005;POINT(1477200 605038)","high","parcelPoint","c13d3e50-f8c6-4da7-aec0-ef9d43c025e1",470403,,,"""","active","9999-12-31","2025-02-07","true",,1.098,3600227
128,1,,"231 Regina Ave, Saanich, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"231",,"Regina","Ave","false",,"false",,"Saanich","District Municipality",,"BC","SRID=3005;POINT(1193492 385748)","high","parcelPoint","734dfc37-550c-4288-b7cb-ff87b9fee478",299180,,,"""","active","9999-12-31","2025-02-07","true",,0.064,4092939
129,1,,"231 Regina Ave, Saanich, BC",,92,"CIVIC_NUMBER",100,"[LOCALITY.isAlias:4, STREET_TYPE.notMatched:3, PROVINCE.missing:1]",,,,,"231",,"Regina","Ave","false",,"false",,"Saanich","District Municipality",,"BC","SRID=3005;POINT(1193492 385748)","high","parcelPoint","734dfc37-550c-4288-b7cb-ff87b9fee478",299180,,,"""","active","9999-12-31","2025-02-07","true",,0.52,4092939
130,1,,"2317 Dowler Pl, Victoria, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"2317",,"Dowler","Pl","false",,"false",,"Victoria","City",,"BC","SRID=3005;POINT(1195665 383523)","high","parcelPoint","b8faddd8-2c0f-42ec-ab24-76d8de779fe5",2661423,,,"""","active","9999-12-31","2025-02-07","true",,0.064,2942498
131,1,,"2317 McKenzie Rd, Abbotsford, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"2317",,"McKenzie","Rd","false",,"false",,"Abbotsford","City",,"BC","SRID=3005;POINT(1271750 454643)","high","parcelPoint","bb0c7a34-fe0b-4537-98b7-adfd59ddd3f9",159688,,,"""","active","9999-12-31","2025-02-07","true",,0.074,3346592
132,1,,"2320 78th Ave, Grand Forks, BC",,98,"BLOCK",99,"[PROVINCE.missing:1]",,,,,"2320",,"78th","Ave","false",,"false",,"Grand Forks","City",,"BC","SRID=3005;POINT(1550226.542 475421.005)","low","accessPoint",,311083,,,,"active",,,"true",,0.297,
133,1,,"2425 Oxford St, Vancouver, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"2425",,"Oxford","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1214322 478864)","high","parcelPoint","5ee586f4-5794-49c6-8e65-a3c9693343f8",110830,,,"""","active","9999-12-31","2025-02-07","true",,0.065,1328070
134,1,,"2425 Oxford St, Vancouver, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"2425",,"Oxford","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1214322 478864)","high","parcelPoint","5ee586f4-5794-49c6-8e65-a3c9693343f8",110830,,,"""","active","9999-12-31","2025-02-07","true",,0.05,1328070
135,1,,"2425 Oxford St, Vancouver, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"2425",,"Oxford","St","false",,"false",,"Vancouver","City",,"BC","SRID=3005;POINT(1214322 478864)","high","parcelPoint","5ee586f4-5794-49c6-8e65-a3c9693343f8",110830,,,"""","active","9999-12-31","2025-02-07","true",,0.057,1328070
136,1,,"245 St Paul St, Kamloops, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"245",,"St Paul","St","false",,"false",,"Kamloops","City",,"BC","SRID=3005;POINT(1399708 644773)","high","parcelPoint","f77348e1-e995-4d18-ac9e-cb7b3e60f094",388604,,,"""","active","9999-12-31","2025-02-07","true",,4.257,3134945
137,1,,"245 St Paul St, Kamloops, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"245",,"St Paul","St","false",,"false",,"Kamloops","City",,"BC","SRID=3005;POINT(1399708 644773)","high","parcelPoint","f77348e1-e995-4d18-ac9e-cb7b3e60f094",388604,,,"""","active","9999-12-31","2025-02-07","true",,3.991,3134945
138,1,,"2490 W 37th Ave, Vancouver, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"2490",,"37th","Ave","false","W","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1206805 473231)","high","parcelPoint","294f85bc-bb0a-495d-af52-dd17a72ef622",103865,,,"""","active","9999-12-31","2025-02-07","true",,1.516,3281743
139,1,,"2490 W 37th Ave, Vancouver, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"2490",,"37th","Ave","false","W","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1206805 473231)","high","parcelPoint","294f85bc-bb0a-495d-af52-dd17a72ef622",103865,,,"""","active","9999-12-31","2025-02-07","true",,1.954,3281743
140,1,,"2506 37 St, Vernon, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"2506",,"37","St","false",,"false",,"Vernon","City",,"BC","SRID=3005;POINT(1478011 605509)","high","parcelPoint","cfd2dcb6-c74f-45f2-bf97-e7510a24b699",66936,,,"""","active","9999-12-31","2025-02-07","true",,0.885,3978872
141,1,,"251 Leon Ave, Kelowna, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"251",,"Leon","Ave","false",,"false",,"Kelowna","City",,"BC","SRID=3005;POINT(1466695 562359)","high","rooftopPoint","388503eb-3029-4cc0-adfd-d00b87044ee6",54383,,,"""","active","9999-12-31","2025-02-07","true",,0.061,4144696
142,1,,"2515 Bartley Rd, West Kelowna, BC",,98,"BLOCK",99,"[PROVINCE.missing:1]",,,,,"2515",,"Bartley","Rd","false",,"false",,"West Kelowna","Unknown",,"BC","SRID=3005;POINT(1460467.567 559516.173)","low","accessPoint",,54253,,,,"active",,,"true",,0.083,
143,1,,"2579 Lewis St, Duncan, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"2579",,"Lewis","St","false",,"false",,"Duncan","City",,"BC","SRID=3005;POINT(1169405 421458)","high","parcelPoint","92942435-6587-4769-9681-04155e115eb1",279822,,,"""","active","9999-12-31","2025-02-07","true",,0.072,2933454
144,1,,"259 Victoria St W, Kamloops, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"259",,"Victoria","St","false","W","false",,"Kamloops","City",,"BC","SRID=3005;POINT(1398955 645123)","high","parcelPoint","2200db33-a3e5-4b45-8418-45fe556a5066",1958367,,,"""","active","9999-12-31","2025-02-07","true",,0.105,2912769
145,1,,"261 E Hastings St, Vancouver, BC",,97,"CIVIC_NUMBER",100,"[LOCALITY.spelledWrong:2, STREET_DIRECTION.notSuffix:0, PROVINCE.missing:1]",,,,,"261",,"Hastings","St","false","E","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1211278 478248)","high","parcelPoint","6934a3bf-c897-4872-ba21-a984a4449464",473992,,,"""","active","9999-12-31","2025-02-07","true",,9.827,4464335
146,1,,"2616 Ware St, Abbotsford, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"2616",,"Ware","St","false",,"false",,"Abbotsford","City",,"BC","SRID=3005;POINT(1270373 455177)","high","parcelPoint","11174f28-f8e5-4f8e-bd8c-9590719d02c6",161589,,,"""","active","9999-12-31","2025-02-07","true",,0.076,3252017
147,1,,"2616 Ware St, Abbotsford, BC",,99,"CIVIC_NUMBER",100,"[PROVINCE.missing:1]",,,,,"2616",,"Ware","St","false",,"false",,"Abbotsford","City",,"BC","SRID=3005;POINT(1270373 455177)","high","parcelPoint","11174f28-f8e5-4f8e-bd8c-9590719d02c6",161589,,,"""","active","9999-12-31","2025-02-07","true",,0.051,3252017
148,1,,"261B E Hastings St, Vancouver, BC",,97,"BLOCK",99,"[CIVIC_NUMBER_SUFFIX.notMatched:1, PROVINCE.missing:1]",,,,,"261","B","Hastings","St","false","E","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1211278.003 478223.84)","low","accessPoint",,473992,,,,"active",,,"true",,5.545,
149,1,,"265 E Hastings St, Vancouver, BC",,98,"BLOCK",99,"[PROVINCE.missing:1]",,,,,"265",,"Hastings","St","false","E","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1211281.317 478223.897)","low","accessPoint",,473992,,,,"active",,,"true",,2.224,
150,1,,"265 E Hastings St, Vancouver, BC",,98,"BLOCK",99,"[STREET_DIRECTION.notSuffix:0, PROVINCE.missing:1]",,,,,"265",,"Hastings","St","false","E","true",,"Vancouver","City",,"BC","SRID=3005;POINT(1211281.317 478223.897)","low","accessPoint",,473992,,,,"active",,,"true",,1.491,
